,rank,name,year,IMDB_rating,country,genres,budget,revenue,keywords,MLens_rating,tmdb_id
164,165,The Thing,1982,8.1,US,Horror/Mystery/Science Fiction,15000000,19629760,based on novel or book/ice/spacecraft/space marine/paranoia/mutation/snow storm/research station/alien life-form/remake/alien/antarctica/shape shifting alien/alien infection/cult film/sled dogs/alien monster/body horror/alien parasites/isolated place,3.895933014354067,1091
165,166,Gone with the Wind,1939,8.1,US,Drama/Romance/War,4000000,400176459,southern usa/loss of loved one/marriage proposal/atlanta/plantation/typhus/business woman/marriage crisis/american civil war/old south/early america,3.8500660501981505,770
166,167,The Bridge on the River Kwai,1957,8.1,GB,Drama/History/War,3000000,44908000,japan/based on novel or book/resistance/river/world war ii/prisoner of war/thailand/bridge/officer/burma/bridge blowup,4.091246290801187,826
167,168,Blade Runner,1982,8.1,US,Science Fiction/Drama/Thriller,28000000,32868943,"artificial intelligence/bounty hunter/android/based on novel or book/dystopia/genetics/futuristic/fugitive/cyberpunk/los angeles, california/cult film/tech noir/neo-noir",4.160513141426783,78
168,169,The Third Man,1949,8.1,GB,Thriller/Mystery,0,596349,austria/cemetery/black market/grave/soviet troops/prater/british army/staged death/investigation/cover-up/foot chase/vienna austria/sewer/missing person/post world war ii/ferris wheel/film noir/evasion/penicillin/forged passport,4.2002762430939224,1092
169,170,On the Waterfront,1954,8.1,US,Crime/Drama,910000,9600000,murder/union/dock/longshoreman/pigeon,4.203389830508475,654
170,171,Jurassic Park,1993,8.1,US,Adventure/Science Fiction,63000000,920100000,exotic island/dna/paleontology/tyrannosaurus rex/triceratops/brontosaurus/electric fence/island/dinosaur/amusement park/theme park/jurassic park,3.680409076382231,329
171,172,Andhadhun,2018,8.1,IN,Crime/Thriller,4500000,40000000,pianist/blind man/piano,,534780
172,173,Finding Nemo,2003,8.1,US,Animation/Family,94000000,940335536,parent child relationship/harbor/anthropomorphism/underwater/shark/pelican/fish tank/great barrier reef/sea turtle/missing child/aftercreditsstinger/duringcreditsstinger/short term memory loss/clownfish/father son reunion/protective father,3.863562091503268,12
173,174,Smultronstället,1957,8.1,SE,Drama,0,0,adultery/identity/dream/journey in the past/professor/self-awareness/nightmare/aging/faith/child/acceptance,4.080459770114943,614
174,175,Drishyam,2013,8.1,IN,Crime/Thriller,750000,12000000,twist/hidden camera/police/murder/family/car/death/quarry/cable tv/false evidence,,244049
175,176,Fargo,1996,8.1,GB,Crime/Drama/Thriller,7000000,60611975,cheating/ransom/salesclerk/winter/kidnapping/unsociability/police/north dakota/murder/dark comedy/money/snow/car dealership/woodchipper/car/false history,4.085264538696983,275
176,177,Gran Torino,2008,8.1,US,Drama,33000000,269958228,rape/war veteran/immigration/gangster/priest/gang/old man/teenager/detroit/widower/car/hmong,3.9938650306748467,13223
177,178,Eskiya,1996,8.1,TR,Crime/Drama/Thriller,0,0,,,26900
178,179,Kill Bill: Vol. 1,2003,8.1,US,Action/Crime,30000000,180949045,japan/coma/martial arts/kung fu/asia/underworld/yakuza/sword/bride/revenge/female yakuza/animated sequence/wedding/samurai sword,3.897008547008547,24
179,180,The Deer Hunter,1978,8.1,GB,Drama/War,15000000,50000000,suicide/vietnam veteran/post traumatic stress  disorder/pennsylvania/vietnam/saigon/party/russian roulette/escape/wedding/deer hunting/steel worker/friend/viet cong,3.962025316455696,11778
180,181,Tôkyô monogatari,1953,8.1,JP,Drama,0,0,coma/beach/baby/fish/boat/office/baseball/classroom/dream/trip/lantern/lie/ambition/water/tea/song/retirement/cake/marriage/peace/class/swing/honor/gift/teacher/school/old man,3.8448275862068964,18148
181,182,Stalker,1979,8.1,GB,Horror,0,0,,,90291
182,183,The Truman Show,1998,8.1,US,Comedy/Drama,60000000,264118201,claustrophobia/hidden camera/dystopia/reality tv/make believe/pretend,3.841357537490134,37165
183,184,The Big Lebowski,1998,8.1,GB,Comedy/Crime,15000000,46189568,"white russian/dude/bowling/vietnam veteran/carpet/nihilism/heart attack/kidnapping/lsd/marijuana/los angeles, california/millionaire/cult film/cowboy/ashes/impregnation/bowling team/unemployed/bowling ball/neo-noir/weeds",3.941470054446461,115
184,185,Relatos salvajes,2014,8.1,AR,Drama/Thriller/Comedy,0,27007072,revenge/wedding party/road rage,4.0,265195
185,186,Mary and Max,2009,8.1,AU,Animation/Comedy/Drama,590235,1725381,chocolate/letter/birthmark/only child/approach/australia/bullying/friendship bracelet/pen pals/atheist/loneliness/stop motion/neighbor/phone book/unlikely friendship/correspondence/eating disorder/asperger's syndrome,4.0519480519480515,24238
186,187,In the Name of the Father,1993,8.1,GB,Drama,13000000,65796862,bomb/prison/based on novel or book/parent child relationship/1970s/biography/faith/irish/trial/rebellion/torture/terrorism/courtroom,4.005988023952096,7984
187,188,Gone Girl,2014,8.1,US,Mystery/Thriller/Drama,61000000,369330363,based on novel or book/wife/investigation/marriage crisis/disappearance/cheating husband/missing person/search party/criminal lawyer/wife murder/murder suspect/missing wife,3.7950819672131146,210577
188,189,Hacksaw Ridge,2016,8.1,AU,Drama/History/War,40000000,175302354,japan/world war ii/violent father/pacifism/bible/biography/war/okinawa/conscientious objector/based on a true story/gore/religion/soldier/religious/alcoholic/war hero/medic/us military/battle of okinawa/congressional medal of honor,,324786
189,190,Salinui chueok,2003,8.1,KR,Crime/Drama/Thriller,2800000,26000000,corruption/rape/detective/assassin/evidence/suspect/victim/investigation/police/based on a true story/murder/true/torture/brutality/killer,4.014285714285714,11423
190,191,Mr. Smith Goes to Washington,1939,8.1,US,Comedy/Drama,1500000,9600000,washington d.c./senate/senator/sightseeing/governor/politician/idealist/dam/camp/conservative/disillusionment/political corruption/integrity/usa politics/determination/filibuster/walkout/political machine/smear campaign/expulsion attempt,3.94281045751634,3083
191,192,The General,1926,8.1,US,Adventure/Action/Comedy,750000,0,spy/southern usa/general/fiancé/cannon/bridge/engineer/army/attack/train/silent film/behind enemy lines/american civil war,4.1652892561983474,961
192,193,How to Train Your Dragon,2010,8.1,US,Fantasy/Adventure/Animation/Family,165000000,494878759,flying/blacksmith/arena/island/night/ship/training/village/forest/viking/friendship/ignorance/flight/nest/dragon/battle/combat/well/warrior,4.064102564102564,10191
193,194,Sherlock Jr.,1924,8.1,US,Action/Comedy/Mystery,0,0,amateur detective/pickpocket/slapstick/jungle/motorcycle/false accusations/silent film/projectionist/booby trap/handkerchief/magnifying glass/railyard/banana peel/pearls,3.8541666666666665,992
194,195,The Grand Budapest Hotel,2014,8.1,DE,Comedy/Drama,30000000,174600318,hotel/eastern europe/painting/author/wartime/gunfight/theft/bellboy/mentor protégé relationship/european/hotel lobby/renaissance painting/1960s/1930s,4.066371681415929,120467
195,196,Persona,1966,8.1,SE,Drama,0,0,nurse/confession/dream/betrayal/patient/violence/silence/psychiatry/submerged/institution/medical drama,4.054347826086956,797
196,197,Before Sunrise,1995,8.1,AT,Drama/Romance,2500000,5535405,sunrise/talking/soulmates/walking/austria/vienna austria/traveller/danube/romantic,3.885159010600707,76
197,198,Catch Me If You Can,2002,8.1,US,Drama/Crime,52000000,352114312,fbi/con man/biography/based on a true story/attempted jailbreak/engagement party/mislaid trust/bank fraud/inspired by a true story,3.878125,640
198,199,Cool Hand Luke,1967,8.1,US,Crime/Drama,3200000,16217773,prison/rebel/loss of loved one/based on novel or book/florida/harassment/imprisonment/dying and death/boxing match/escape/barbed wire/death/prison farm,4.072475570032573,903
199,200,Into the Wild,2007,8.1,US,Adventure/Drama,15000000,56255142,parent child relationship/camping/self-discovery/wilderness/biography/based on a true story/alaska/journey,3.9435146443514646,5915
200,201,Prisoners,2013,8.1,US,Drama/Thriller/Crime,46000000,122126687,detective/pennsylvania/hostage/kidnapping/maze/investigation/vigilante/revenge/beating/rural setting/crime scene/brutality/candlelight vigil/animal cruelty/neo-noir,3.895348837209302,146233
201,202,12 Years a Slave,2013,8.1,US,Drama/History,20000000,187000000,slavery/plantation/based on memoir or autobiography/violin player/physical abuse/black slave/american history/slave owner/19th century/sold into slavery/abolitionist/abuse of power,3.7017543859649122,76203
202,203,Le salaire de la peur,1953,8.1,FR,Drama/Thriller/Adventure,0,0,life and death/venezuela/fire/central and south america/tanker/petrol/unsociability/incomes/nitroglycerin/truck/oil/danger/driver,4.073529411764706,204
203,204,Network,1976,8.1,US,Drama,3800000,23689877,corruption/adultery/television/profit/power/tv ratings/satire/murder/corporate/reporter/co-worker/meeting/news/fired/network/anchor/structure/rant,4.0055350553505535,10774
204,205,Stand by Me,1986,8.1,US,Crime/Drama,8000000,52287414,based on novel or book/oregon/friendship/coming of age/railroad track/story within the story/flipping coin/campfire story/normandy beach/child/1950s/boys/coin toss,4.037962962962963,235
205,206,Life of Brian,1979,8.1,GB,Comedy,4000000,20045115,jewry/roman empire/three kings/crucifixion/bethlehem/independence movement/satire/religion/sermon on the mount/cult film/anarchic comedy,3.9641873278236917,583
206,207,Mad Max: Fury Road,2015,8.1,AU,Action/Adventure/Science Fiction,150000000,378858340,future/chase/post-apocalyptic/dystopia/australia/rescue/survival/on the run/convoy/peak oil/dark future,,76341
207,208,Platoon,1986,8.1,US,Drama/War/Action,6000000,138530565,hero/mine/vietnam war/village/jungle/soldier/battle/platoon/combat,3.9249394673123486,792
208,209,La passion de Jeanne d'Arc,1928,8.1,FR,Drama/History,0,0,judge/woman martyr/heresy/court case/suffering/sentence/torture chamber/religion/trial/black and white/mental illness/dove/silent film/catholicism/joan of arc/forgery/masterpiece/judiciary/15th century/burning at stake/holy communion/bloodletting,4.3125,780
209,210,Barry Lyndon,1975,8.1,GB,Drama/Romance/War,11000000,20000000,based on novel or book/palace/british army/fencing/epic/debt/ireland/british soldier/18th century/seven years war/nobility/prussia,3.8111888111888113,3175
210,211,Million Dollar Baby,2004,8.1,US,Drama,30000000,216763646,transporter/suicide attempt/fight/strong woman/boxer/dying and death/stroke of fate/training/advancement/profanity/tragedy/female protagonist/brutality/boxing trainer/unlikely friendship/female boxing/knockout/euthanasia/determination,3.883442265795207,70
211,212,Rush,2013,8.1,DE,Drama/Action,38000000,90247624,car race/world champion/sport/racing car/based on a true story/formula one,4.1,96721
212,213,Hachi: A Dog's Tale,2009,8.1,GB,Drama/Family,16000000,47801389,loyalty/human animal relationship/friendship/friends/family relationships/dog/newspaper reporter/family dog/waiting,3.4,28178
213,214,Rang De Basanti,2006,8.1,IN,Comedy/Drama/History,2200000,11502151,patriotism/students' movement/war of independence/coming of age/student/celebration/corrupt politician/indian freedom struggle,,7913
214,215,Logan,2017,8.1,US,Action/Drama/Science Fiction,97000000,619021436,cyborg/experiment/self-destruction/mutant/future/dystopia/immortality/sequel/superhero/based on comic/super power/neo-western/troubled past/life on the margin/stan lee,,263115
215,216,Andrei Rublev,1966,8.1,RU,Drama/History,0,0,painter/rape/russia/artist/power/icon/teacher/torture/middle ages,3.7777777777777777,895
216,217,Ben-Hur,1959,8.1,IT,Adventure/History,15000000,146900000,roman/prince/chariot race/jerusalem/ancient rome/governor/politics/epic/friends/remake/revenge/jewish/galley/sea battle/galley slave/1st century,3.8289205702647657,665
217,218,The Red Shoes,1948,8.0,GB,Drama/Romance,500000,0,"london, england/composer/dance performance/new love/dance/ballet dancer/music lover/ballet/red shoes",3.675,19542
218,219,Kaze no tani no Naushika,1984,8.0,JP,Adventure/Animation/Fantasy,1000000,3301446,saving the world/human vs nature/fungus spores   /future/airplane/post-apocalyptic/war/giant insect/toxic/based on manga/ecology/duringcreditsstinger/anime,4.14367816091954,81
219,220,Les quatre cents coups,1959,8.0,FR,Drama,0,0,"paris, france/delinquent/fondling/fingerprint/nouvelle vague/semi autobiographical/skipping school/mugshot/strict teacher/montmartre paris",4.147058823529412,147
220,221,Harry Potter and the Deathly Hallows: Part 2,2011,8.0,GB,Fantasy/Adventure,125000000,1342000000,self sacrifice/magic/frog/sorcerer/school/wizard/3d/based on young adult novel/wizarding world,3.9425,12445
